%META:TOPICINFO{author="TWikiContributor" date="1295255149" format="1.1" version="$Rev$"}%
%META:TOPICPARENT{name="FluidPivotsPlugin"}%
---+!! FluidPivotsPlugin External Test Case

%TABLE{name="exampleTable1"}%
| *ID* | *Client* | *Worker* | *Effort* | *Life Time* | *Date* | *State* |
| 1 | Client 4 | Worker 3|2|3| 2007/8/4 | State1|
| 2 | Client 2 | Worker 1|8|9| 2007/2/8 | State2|
| 3 | Client 2 | Worker 1|5|4| 2007/2/7 | State1|
| 4 | Client 4 | Worker 3|3|7| 2007/10/19 | State2|
| 5 | Client 2 | Worker 3|4|7| 2007/12/7 | State1|
| 6 | Client 3 | Worker 2|6|8| 2007/7/15 | State1|
| 7 | Client 3 | Worker 3|4|10| 2007/11/27 | State2|
| 8 | Client 3 | Worker 2|10|9| 2007/10/7 | State1|
| 9 | Client 2 | Worker 1|2|5| 2007/4/1 | State2|
| 10 | Client 3 | Worker 1|2|11| 2007/1/20 | State2|
| 11 | Client 4 | Worker 2|6|2| 2007/3/4 | State3|
| 12 | Client 4 | Worker 3|1|4| 2007/3/13 | State1|
| 13 | Client 1 | Worker 1|5|11| 2007/4/3 | State1|
| 14 | Client 3 | Worker 3|7|3| 2007/6/20 | State2|
| 15 | Client 2 | Worker 3|4|10| 2007/11/2 | State1|

%TABLE{name="exampleTable2"}%
| *ID* | *Data1* | *Data2* |
| 3 | 19 | 15 |
| 1 | 15 | 4 |
| 4 | 1 | 19 |
| 4 | 10 | 16 |
| 2 | 17 | 11 |
| 3 | 12 | 7 |
| 3 | 0 | 14 |
| 1 | 18 | 14 |
| 0 | 18 | 13 |
| 3 | 2 | 7 |
| 3 | 4 | 1 |
| 3 | 15 | 6 |
| 1 | 6 | 7 |
| 0 | 12 | 7 |
| 3 | 4 | 12 |
| 2 | 2 | 19 |
| 3 | 17 | 5 |
| 1 | 1 | 6 |
| 2 | 2 | 15 |
| 3 | 7 | 13 |
| 1 | 12 | 3 |
| 1 | 7 | 2 |
| 2 | 15 | 7 |
| 4 | 14 | 10 |
| 0 | 1 | 12 |
| 4 | 8 | 12 |
| 0 | 14 | 10 |
| 3 | 5 | 0 |
| 0 | 11 | 6 |
| 2 | 13 | 1 |
| 3 | 8 | 11 |
| 3 | 2 | 8 |
| 2 | 1 | 17 |
| 1 | 14 | 18 |
| 0 | 13 | 2 |
| 0 | 5 | 0 |
| 4 | 3 | 1 |
| 2 | 11 | 13 |
| 3 | 10 | 18 |
| 1 | 4 | 7 |
| 3 | 10 | 3 |
| 1 | 6 | 3 |
| 1 | 14 | 4 |
| 4 | 14 | 19 |
| 4 | 16 | 15 |
| 1 | 15 | 18 |
| 3 | 16 | 11 |
| 1 | 1 | 12 |
| 4 | 11 | 6 |
| 2 | 16 | 1 |
| 2 | 9 | 13 |
| 1 | 17 | 10 |
| 1 | 6 | 3 |
| 4 | 7 | 2 |
| 3 | 18 | 12 |
| 1 | 17 | 15 |
| 4 | 14 | 11 |
| 4 | 3 | 18 |
| 4 | 19 | 16 |
| 3 | 0 | 6 |
| 2 | 10 | 5 |
| 1 | 10 | 10 |
| 0 | 1 | 0 |
| 0 | 15 | 19 |
| 4 | 0 | 0 |
| 2 | 5 | 7 |
| 3 | 18 | 4 |
| 3 | 4 | 0 |
| 1 | 19 | 6 |
| 3 | 19 | 1 |
| 3 | 18 | 9 |
| 3 | 10 | 4 |
| 4 | 9 | 17 |
| 2 | 19 | 13 |
| 2 | 14 | 15 |
| 2 | 19 | 16 |
| 4 | 5 | 7 |
| 0 | 0 | 17 |
| 1 | 11 | 15 |
| 4 | 7 | 19 |
| 4 | 14 | 9 |
| 2 | 13 | 15 |
| 2 | 4 | 0 |
| 1 | 10 | 2 |
| 4 | 6 | 6 |
| 0 | 12 | 19 |
| 1 | 12 | 19 |
| 0 | 8 | 5 |
| 1 | 17 | 9 |
| 4 | 19 | 14 |
| 4 | 19 | 14 |
| 4 | 1 | 8 |
| 2 | 16 | 1 |
| 3 | 17 | 15 |
| 2 | 16 | 6 |
| 1 | 10 | 8 |
| 0 | 13 | 16 |
| 0 | 3 | 1 |
| 0 | 18 | 7 |
| 2 | 6 | 6 |
| 4 | 17 | 17 |
| 2 | 18 | 14 |
| 0 | 10 | 19 |
| 1 | 16 | 12 |
| 0 | 19 | 10 |
| 2 | 13 | 5 |
| 2 | 15 | 6 |
| 2 | 1 | 18 |
| 3 | 11 | 16 |
| 1 | 19 | 18 |
| 3 | 17 | 12 |
| 1 | 7 | 3 |
| 4 | 18 | 9 |
| 2 | 9 | 6 |
| 0 | 19 | 6 |
| 0 | 11 | 4 |
| 4 | 0 | 3 |
| 4 | 8 | 2 |
| 4 | 0 | 14 |
| 2 | 19 | 18 |
| 0 | 7 | 11 |
| 0 | 5 | 12 |
| 2 | 8 | 12 |
| 1 | 7 | 19 |
| 4 | 7 | 17 |
| 4 | 6 | 11 |
| 4 | 18 | 12 |
| 1 | 0 | 6 |
| 3 | 10 | 18 |
| 4 | 8 | 3 |
| 1 | 6 | 1 |
| 3 | 11 | 14 |
| 3 | 1 | 14 |
| 4 | 18 | 8 |
| 1 | 15 | 8 |
| 1 | 19 | 12 |
| 0 | 12 | 18 |
| 2 | 4 | 12 |
| 1 | 2 | 13 |
| 0 | 13 | 9 |
| 4 | 13 | 5 |
| 1 | 19 | 15 |
| 2 | 17 | 6 |
| 2 | 9 | 18 |
| 3 | 19 | 7 |
| 0 | 8 | 13 |
| 3 | 10 | 1 |
| 1 | 8 | 5 |
| 4 | 13 | 7 |
| 3 | 13 | 6 |
| 4 | 8 | 19 |
| 4 | 8 | 15 |
| 2 | 17 | 0 |
| 0 | 19 | 5 |
| 3 | 7 | 18 |
| 4 | 6 | 7 |
| 0 | 19 | 18 |
| 1 | 16 | 10 |
| 3 | 11 | 11 |
| 3 | 9 | 2 |
| 0 | 5 | 17 |
| 1 | 0 | 14 |
| 2 | 9 | 4 |
| 1 | 17 | 14 |
| 3 | 4 | 2 |
| 2 | 1 | 19 |
| 0 | 12 | 0 |
| 2 | 6 | 16 |
| 0 | 0 | 2 |
| 2 | 7 | 8 |
| 3 | 7 | 16 |
| 0 | 6 | 16 |
| 1 | 12 | 7 |
| 4 | 18 | 15 |
| 4 | 16 | 13 |
| 2 | 17 | 10 |
| 0 | 5 | 2 |
| 1 | 11 | 17 |
| 0 | 0 | 10 |
| 3 | 7 | 13 |
| 2 | 3 | 17 |
| 4 | 17 | 7 |
| 4 | 1 | 15 |
| 0 | 4 | 12 |
| 1 | 18 | 17 |
| 0 | 18 | 11 |
| 3 | 3 | 0 |
| 2 | 3 | 4 |
| 0 | 18 | 15 |
| 2 | 1 | 1 |
| 0 | 6 | 4 |
| 1 | 16 | 12 |
| 3 | 1 | 18 |
| 1 | 2 | 4 |
| 3 | 4 | 1 |
| 0 | 9 | 8 |
| 3 | 8 | 13 |
| 1 | 5 | 16 |
| 2 | 3 | 7 |
| 4 | 18 | 12 |

__Related Topics:__ FluidPivotsPlugin, FluidPivotsPluginTestCasesOff, FluidPivotsPluginTestCases

-- TWiki:Main.JorgeCardona - 16 Oct 2007
